from,to
2TNY,EC06
2TME,EC07
2TNH,EC07
2TVT,EC07
2TMA,EC07
2TCT,EC07
2TRI,EC07
2TFL,EC08
2TVA,EC09
2TTN,EC09
2TNC,EC09
2TSC,EC09
2TGA,EC09
2TAL,EC09
2TMS,EC09
2TMS,EC10
2TLA,EC10
2TAR,EC10
2TOK,EC10
2TKS,EC10
2TMO,EC10
2TWA,EC11
2TOR,EC11
2TID,EC11
2TMT,EC11
2TWY,EC11
2TUT,EC11
2TNV,EC11
2TWY,EC12
2TCO,EC12
2TAZ,EC12
2TNM,EC12
2TCA,EC13
3TMI,EC01
3TOH,EC01
3TKY,EC01
3TIN,EC01
3TWY,EC01
3TVA,EC01
3TTX,EC02
3TPA,EC03
3TMD,EC03
3TDE,EC03
3TMO,EC04
3TIL,EC04
3TWI,EC04
3TWI,EC05
3TMN,EC05
3TND,EC05
3TSD,EC05
3TIA,EC05
3TNE,EC05
3TNY,EC06
3TME,EC07
3TNH,EC07
3TVT,EC07
3TMA,EC07
3TCT,EC07
3TRI,EC07
3TFL,EC08
3TVA,EC09
3TTN,EC09
3TNC,EC09
3TSC,EC09
3TGA,EC09
3TAL,EC09
3TMS,EC09
3TMS,EC10
3TLA,EC10
3TAR,EC10
3TOK,EC10
3TKS,EC10
3TMO,EC10
3TWA,EC11
3TOR,EC11
3TID,EC11
3TMT,EC11
3TWY,EC11
3TUT,EC11
3TNV,EC11
3TWY,EC12
3TCO,EC12
3TAZ,EC12
3TNM,EC12
3TCA,EC13
4TMI,EC01
4TOH,EC01
4TKY,EC01
4TIN,EC01
4TWY,EC01
4TVA,EC01
4TTX,EC02
4TPA,EC03
4TMD,EC03
4TDE,EC03
4TMO,EC04
4TIL,EC04
4TWI,EC04
4TWI,EC05
4TMN,EC05
4TND,EC05
4TSD,EC05
4TIA,EC05
4TNE,EC05
4TNY,EC06
4TME,EC07
4TNH,EC07
4TVT,EC07
4TMA,EC07
4TCT,EC07
4TRI,EC07
4TFL,EC08
4TVA,EC09
4TTN,EC09
4TNC,EC09
4TSC,EC09
4TGA,EC09
4TAL,EC09
4TMS,EC09
4TMS,EC10
4TLA,EC10
4TAR,EC10
4TOK,EC10
4TKS,EC10
4TMO,EC10
4TWA,EC11
4TOR,EC11
4TID,EC11
4TMT,EC11
4TWY,EC11
4TUT,EC11
4TNV,EC11
4TWY,EC12
4TCO,EC12
4TAZ,EC12
4TNM,EC12
4TCA,EC13
1TMI,ED01
1TOH,ED01
1TKY,ED01
1TIN,ED01
1TWY,ED01
1TVA,ED01
1TTX,ED02
1TPA,ED03
1TMD,ED03
1TDE,ED03
1TMO,ED04
1TIL,ED04
1TWI,ED04
1TWI,ED05
1TMN,ED05
1TND,ED05
1TSD,ED05
1TIA,ED05
1TNE,ED05
1TNY,ED06
1TME,ED07
1TNH,ED07
1TVT,ED07
1TMA,ED07
1TCT,ED07
1TRI,ED07
1TFL,ED08
1TVA,ED09
1TTN,ED09
1TNC,ED09
1TSC,ED09
1TGA,ED09
1TAL,ED09
1TMS,ED09
1TMS,ED10
1TLA,ED10
1TAR,ED10
1TOK,ED10
1TKS,ED10
1TMO,ED10
1TWA,ED11
1TOR,ED11
1TID,ED11
1TMT,ED11
1TWY,ED11
1TUT,ED11
1TNV,ED11
1TWY,ED12
1TCO,ED12
1TAZ,ED12
1TNM,ED12
1TCA,ED13
2TMI,ED01
2TOH,ED01
2TKY,ED01
2TIN,ED01
2TWY,ED01
2TVA,ED01
2TTX,ED02
2TPA,ED03
2TMD,ED03
2TDE,ED03
2TMO,ED04
2TIL,ED04
2TWI,ED04
2TWI,ED05
2TMN,ED05
2TND,ED05
2TSD,ED05
2TIA,ED05
2TNE,ED05
2TNY,ED06
2TME,ED07
2TNH,ED07
2TVT,ED07
2TMA,ED07
2TCT,ED07
2TRI,ED07
2TFL,ED08
2TVA,ED09
2TTN,ED09
2TNC,ED09
2TSC,ED09
2TGA,ED09
2TAL,ED09
2TMS,ED09
2TMS,ED10
2TLA,ED10
2TAR,ED10
2TOK,ED10
2TKS,ED10
2TMO,ED10
2TWA,ED11
2TOR,ED11
2TID,ED11
2TMT,ED11
2TWY,ED11
2TUT,ED11
2TNV,ED11
2TWY,ED12
2TCO,ED12
2TAZ,ED12
2TNM,ED12
2TCA,ED13
3TMI,ED01
3TOH,ED01
3TKY,ED01
3TIN,ED01
3TWY,ED01
3TVA,ED01
3TTX,ED02
3TPA,ED03
3TMD,ED03
3TDE,ED03
3TMO,ED04
3TIL,ED04
3TWI,ED04
3TWI,ED05
3TMN,ED05
3TND,ED05
3TSD,ED05
3TIA,ED05
3TNE,ED05
3TNY,ED06
3TME,ED07
3TNH,ED07
3TVT,ED07
3TMA,ED07
3TCT,ED07
3TRI,ED07
3TFL,ED08
3TVA,ED09
3TTN,ED09
3TNC,ED09
3TSC,ED09
3TGA,ED09
3TAL,ED09
3TMS,ED09
3TMS,ED10
3TLA,ED10
3TAR,ED10
3TOK,ED10
3TKS,ED10
3TMO,ED10
3TWA,ED11
3TOR,ED11
3TID,ED11
3TMT,ED11
3TWY,ED11
3TUT,ED11
3TNV,ED11
3TWY,ED12
3TCO,ED12
3TAZ,ED12
3TNM,ED12
3TCA,ED13
4TMI,ED01
4TOH,ED01
4TKY,ED01
4TIN,ED01
4TWY,ED01
4TVA,ED01
4TTX,ED02
4TPA,ED03
4TMD,ED03
4TDE,ED03
4TMO,ED04
4TIL,ED04
4TWI,ED04
4TWI,ED05
4TMN,ED05
4TND,ED05
4TSD,ED05
4TIA,ED05
4TNE,ED05
4TNY,ED06
4TME,ED07
4TNH,ED07
4TVT,ED07
4TMA,ED07
4TCT,ED07
4TRI,ED07
4TFL,ED08
4TVA,ED09
4TTN,ED09
4TNC,ED09
4TSC,ED09
4TGA,ED09
4TAL,ED09
4TMS,ED09
4TMS,ED10
4TLA,ED10
4TAR,ED10
4TOK,ED10
4TKS,ED10
4TMO,ED10
4TWA,ED11
4TOR,ED11
4TID,ED11
4TMT,ED11
4TWY,ED11
4TUT,ED11
4TNV,ED11
4TWY,ED12
4TCO,ED12
4TAZ,ED12
4TNM,ED12
4TCA,ED13
% Natural gas transshipment to generation,
NTMI,EG01
NTOH,EG01
NTKY,EG01
NTIN,EG01
NTWY,EG01
NTVA,EG01
NTTX,EG02
NTPA,EG03
NTMD,EG03
NTDE,EG03
NTMO,EG04
NTIL,EG04
NTWI,EG04
NTWI,EG05
NTMN,EG05
NTND,EG05
NTSD,EG05
NTIA,EG05
NTNE,EG05
NTNY,EG06
NTME,EG07
NTNH,EG07
NTVT,EG07
NTMA,EG07
NTCT,EG07
NTRI,EG07
NTFL,EG08
NTVA,EG09
NTTN,EG09
NTNC,EG09
NTSC,EG09
NTGA,EG09
NTAL,EG09
NTMS,EG09
NTMS,EG10
NTLA,EG10
NTAR,EG10
NTOK,EG10
NTKS,EG10
NTMO,EG10
NTWA,EG11
NTOR,EG11
NTID,EG11
NTMT,EG11
NTWY,EG11
NTUT,EG11
NTNV,EG11
NTWY,EG12
NTCO,EG12
NTAZ,EG12
NTNM,EG12
NTCA,EG13
NTMI,ET01
NTOH,ET01
NTKY,ET01
NTIN,ET01
NTWY,ET01
NTVA,ET01
NTTX,ET02
NTPA,ET03
NTMD,ET03
NTDE,ET03
NTMO,ET04
NTIL,ET04
NTWI,ET04
NTWI,ET05
NTMN,ET05
NTND,ET05
NTSD,ET05
NTIA,ET05
NTNE,ET05
NTNY,ET06
NTME,ET07
NTNH,ET07
NTVT,ET07
NTMA,ET07
NTCT,ET07
NTRI,ET07
NTFL,ET08
NTVA,ET09
NTTN,ET09
NTNC,ET09
NTSC,ET09
NTGA,ET09
NTAL,ET09
NTMS,ET09
NTMS,ET10
NTLA,ET10
NTAR,ET10
NTOK,ET10
NTKS,ET10
NTMO,ET10
NTWA,ET11
NTOR,ET11
NTID,ET11
NTMT,ET11
NTWY,ET11
NTUT,ET11
NTNV,ET11
NTWY,ET12
NTCO,ET12
NTAZ,ET12
NTNM,ET12
NTCA,ET13
